timestamp,job_title,company,location,job_link,status,reason,answers,ai_answers,time_taken_sec
2025-05-12T20:43:51.909273,"🔹 Lead C# & React Full Stack Developer | Front Office Trading | Paris, France 🇫🇷 | €85,000 - €95,000 + Bonus | Hybrid (3 days in-office)",VirtueTech Recruitment Group,,https://www.linkedin.com/jobs/view/4226019187/,success,,[],[],
2025-05-12T20:44:29.688127,Développeur Full-Stack Junior,SEREO Engineering,,https://www.linkedin.com/jobs/view/4228525308/,success,,[],[],
2025-05-12T20:45:04.743950,Senior Software Engineer | Python |Typescript | AWS | Bun | Terraform | Docker | Redis | SQL | NoSQL,Enigma,,https://www.linkedin.com/jobs/view/4226503741/,success,,[],[],
2025-05-12T20:46:28.005685,"Senior Data Engineer – ADMET & Pharma Collaborations | Series A - Drug discovery B2B Platform | Fully Remote, EU | Up to £130,000",Owen Thomas | Pending B Corp™,,https://www.linkedin.com/jobs/view/4228479167/,success,,[],[],
2025-05-12T20:46:36.255402,Senior Développeur Back (Node.js) - H/F,EY FABERNOVEL,,https://www.linkedin.com/jobs/view/4225687448/,success,,[],[],
2025-05-12T20:46:45.691739,Développeur.se Python,MERITIS,,https://www.linkedin.com/jobs/view/4225683659/,success,,[],[],
2025-05-12T20:46:54.364482,Senior Python Engineer - Data Platform (Remote),Axiom Recruit,,https://www.linkedin.com/jobs/view/4226260410/,success,,[],[],
2025-05-12T20:47:03.570034,Data Engineer,Datatorii,,https://www.linkedin.com/jobs/view/4225684617/,success,,[],[],
2025-05-12T20:47:12.050076,Ingénieur DevOps,DATASOLUTION - Partner of your digital transformation,,https://www.linkedin.com/jobs/view/4228439795/,success,,[],[],
2025-05-12T20:47:21.315434,Développeur Senior F/H en CDI,francebillet,,https://www.linkedin.com/jobs/view/4225685409/,success,,[],[],
2025-05-12T20:47:30.836537,Ingénieur Cloud & Systèmes – Infrastructure AWS,INFORMATIS TECHNOLOGY SYSTEM,,https://www.linkedin.com/jobs/view/4226257425/,success,,[],[],
2025-05-12T20:47:40.405713,Ingénieur Cloud/ DevOps H/F,kodemade,,https://www.linkedin.com/jobs/view/4226250469/,success,,[],[],
2025-05-12T20:48:53.582773,Senior AI Engineer – TechForGood / AI / IoT - 100.000 EUR - Europe/Remote,Xcede,,https://www.linkedin.com/jobs/view/4226249559/,success,,[],[],
2025-05-12T20:49:02.122381,Ingénieur(e) IA Générative F/H,Up Technologies,,https://www.linkedin.com/jobs/view/4228437775/,success,,[],[],
2025-05-12T20:49:21.106565,Lead Data Engineer H/F,OVENTI Consulting,,https://www.linkedin.com/jobs/view/4226249137/,success,,[],[],
2025-05-12T20:49:21.107957,Lead Data Engineer H/F,OVENTI Consulting,,https://www.linkedin.com/jobs/view/4226249137/,success,,[],[],
2025-05-12T20:49:30.076917,Data engineer,Lawrence Harvey,,https://www.linkedin.com/jobs/view/4226249057/,success,,[],[],
2025-05-12T20:49:38.534906,Développeur C# client lourd,Canopee Group,,https://www.linkedin.com/jobs/view/4225679255/,success,,[],[],
2025-05-12T20:49:46.808774,Testeur.se QA fonctionnel / automatisation - CDI,Octopus HACCP,,https://www.linkedin.com/jobs/view/4228432145/,success,,[],[],
2025-05-13T02:21:55.071908,Site Reliability Engineer - SRE,Scaleway,,https://www.linkedin.com/jobs/view/4226022227/,success,,[],[],
2025-05-13T02:22:03.535968,Développeur/se web JAVA / ELK (H/F),CARBON IT,,https://www.linkedin.com/jobs/view/4228538408/,success,,[],[],
2025-05-13T03:16:37.986508,Développeur/se web JAVA / KAFKA (H/F),CARBON IT,,https://www.linkedin.com/jobs/view/4228539376/,success,,[],[],
